State,County,Year,NO2_Units,NO2_Mean,NO2_1st_Max_Value,NO2_1st_Max_Hour,NO2_AQI,O3_Units,O3_Mean,O3_1st_Max_Value,O3_1st_Max_Hour,O3_AQI,SO2_Units,SO2_Mean,SO2_1st_Max_Value,SO2_1st_Max_Hour,SO2_AQI,CO_Units,CO_Mean,CO_1st_Max_Value,CO_1st_Max_Hour,CO_AQI,YPLL Rate,% Fair/Poor,Physically Unhealthy Days,TotalPop,TotalMalePop,TotalFemalePop
Arizona,Pima,2010,Parts per billion,12.09,27.02,14,25.29,Parts per million,0.03,0.04,9,36.84,Parts per billion,0.46,1.23,10,0.88,Parts per million,0.25,0.46,8,2.09,8019,14,3.6,981653,499499,482154
Arizona,Pima,2011,Parts per billion,11.78,25.56,12,23.66,Parts per million,0.03,0.04,10,38.97,Parts per billion,0.27,1.06,11,0.57,Parts per million,0.19,0.33,6,1.5,7699,14,3.7,988407,502199,486208
Arizona,Pima,2012,Parts per billion,13.39,28.19,14,26.15,Parts per million,0.03,0.04,10,36.15,Parts per billion,0.2,0.57,12,0.18,Parts per million,0.21,0.37,7,1.69,7721,15,3.7,993215,504528,488687
Arizona,Pima,2013,Parts per billion,11,23.93,12,22.14,Parts per million,0.03,0.04,10,38.21,Parts per billion,0.22,0.88,10,0.45,Parts per million,0.17,0.31,6,1.41,11848,17,3.9,997437,506602,490835
Arizona,Pima,2014,Parts per billion,11.35,24.22,13,22.4,Parts per million,0.03,0.04,10,40.5,Parts per billion,0.21,0.77,10,0.32,Parts per million,0.21,0.35,6,1.63,7390,14,3.7,1004675,509783,494892
Arizona,Pima,2015,Parts per billion,8.86,19.71,13,18.12,Parts per million,0.03,0.04,10,40.16,Parts per billion,0.15,0.61,10,0.29,Parts per million,0.24,0.36,7,1.71,7142,14,3.7,1009737,512688,497049
Arizona,Pima,2016,Parts per billion,11.89,24.23,13,22.45,Parts per million,0.02,0.04,10,38.09,Parts per billion,0.13,0.33,10,0.02,Parts per million,0.32,0.47,7,2.4,7155,16,3.5,1017624,516711,500913
Arizona,Maricopa,2010,Parts per billion,17.92,37.64,14,35.53,Parts per million,0.02,0.04,10,38.33,Parts per billion,1.36,2.4,8,1.87,Parts per million,0.42,0.82,9,3.97,6978,15,3.2,3825191,1933071,1892120
Arizona,Maricopa,2011,Parts per billion,19.89,39.21,13,37,Parts per million,0.03,0.04,10,38.49,Parts per billion,1.12,2.26,10,1.67,Parts per million,0.45,0.88,9,4.21,6863,15,3.2,3875065,1959519,1915546
Arizona,Maricopa,2012,Parts per billion,19.94,40.42,14,38.14,Parts per million,0.03,0.05,10,42.38,Parts per billion,1.25,2.36,11,1.68,Parts per million,0.41,0.83,9,3.94,6534,15,3.2,3948225,1995803,1952422
Arizona,Maricopa,2013,Parts per billion,18.13,36.9,13,34.84,Parts per million,0.03,0.05,10,47.28,Parts per billion,1.01,2.07,10,1.46,Parts per million,0.41,0.79,9,3.75,12621,23,5.2,4019019,2031392,1987627
Arizona,Maricopa,2014,Parts per billion,18,36.89,14,34.81,Parts per million,0.03,0.05,10,46.42,Parts per billion,1.21,2.19,10,1.52,Parts per million,0.48,0.87,9,4.29,6247,15,3.2,4095508,2069866,2025642
Arizona,Maricopa,2015,Parts per billion,14.83,32.51,12,30.69,Parts per million,0.03,0.05,10,47.51,Parts per billion,0.83,1.64,9,1.11,Parts per million,0.42,0.77,8,3.71,6053,15,3.2,4175049,2109974,2065075
